Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Bioinformatics analysis of gene banks provides a treasure trove for the functional genomist.,/pubmed/11040098,Roberts R.,J Mol Cell Cardiol. 2000 Nov;32(11):1917-9. No abstract available. ,J Mol Cell Cardiol.  2000,PubMed,citation,PMID:11040098,pubmed,11040098,create date:2000/10/21 | first author:Roberts R
Complexity and high-end computing in biology and medicine.,/pubmed/21431578,Perrin D.,Adv Exp Med Biol. 2011;696:377-84. doi: 10.1007/978-1-4419-7046-6_38.,Adv Exp Med Biol.  2011,PubMed,citation,PMID:21431578,pubmed,21431578,create date:2011/03/25 | first author:Perrin D
Defining bioinformatics and structural bioinformatics.,/pubmed/12647379,"Altman RB, Dugan JM.",Methods Biochem Anal. 2003;44:3-14. Review. No abstract available. ,Methods Biochem Anal.  2003,PubMed,citation,PMID:12647379,pubmed,12647379,create date:2003/03/22 | first author:Altman RB
Interdisciplinary sciences in the 21st century.,/pubmed/12849788,Winnacker EL.,Curr Opin Biotechnol. 2003 Jun;14(3):328-31.,Curr Opin Biotechnol.  2003,PubMed,citation,PMID:12849788,pubmed,12849788,create date:2003/07/10 | first author:Winnacker EL
Established and emerging trends in computational drug discovery in the structural genomics era.,/pubmed/22284352,"Taboureau O, Baell JB, Fernández-Recio J, Villoutreix BO.",Chem Biol. 2012 Jan 27;19(1):29-41. doi: 10.1016/j.chembiol.2011.12.007. Review.,Chem Biol.  2012,PubMed,citation,PMID:22284352,pubmed,22284352,create date:2012/01/31 | first author:Taboureau O
Special issue on computations in oscillating neuronal networks.,/pubmed/24571094,"Scarpetta S, Leibold C.",Network. 2014 Mar-Jun;25(1-2):1-2. doi: 10.3109/0954898X.2014.886919. No abstract available. ,Network.  2014,PubMed,citation,PMID:24571094,pubmed,24571094,create date:2014/02/28 | first author:Scarpetta S
The economic value of bioinformation.,/pubmed/11038327,Milosavljevic A.,Bioinformatics. 2000 Jul;16(7):571-2. No abstract available. ,Bioinformatics.  2000,PubMed,citation,PMID:11038327,pubmed,11038327,create date:2000/10/20 | first author:Milosavljevic A
The roots of bioinformatics in ISMB.,/pubmed/22952443,Gibson TA.,PLoS Comput Biol. 2012;8(8):e1002679. doi: 10.1371/journal.pcbi.1002679. Epub 2012 Aug 30. No abstract available. ,PLoS Comput Biol.  2012,PubMed,citation,PMID:22952443 | PMCID:PMC3431341,pubmed,22952443,create date:2012/09/07 | first author:Gibson TA
Singapore invests in bioinformatics.,/pubmed/11268170,Cyranoski D.,Nature. 2001 Mar 15;410(6826):293. No abstract available. ,Nature.  2001,PubMed,citation,PMID:11268170,pubmed,11268170,create date:2001/03/27 | first author:Cyranoski D
A services oriented system for bioinformatics applications on the grid.,/pubmed/17476060,"Aloisio G, Cafaro M, Epicoco I, Fiore S, Mirto M.",Stud Health Technol Inform. 2007;126:174-83.,Stud Health Technol Inform.  2007,PubMed,citation,PMID:17476060,pubmed,17476060,create date:2007/05/04 | first author:Aloisio G
Computing: Scientific software needs quality control.,/pubmed/24153289,"Alden K, Read M.",Nature. 2013 Oct 24;502(7472):448. doi: 10.1038/502448d. No abstract available. ,Nature.  2013,PubMed,citation,PMID:24153289,pubmed,24153289,create date:2013/10/25 | first author:Alden K
Interfacing systems biology and synthetic biology.,/pubmed/19591648,"Lister A, Charoensawan V, De S, James K, Janga SC, Huppert J.",Genome Biol. 2009;10(6):309. doi: 10.1186/gb-2009-10-6-309. Epub 2009 Jun 26.,Genome Biol.  2009,PubMed,citation,PMID:19591648 | PMCID:PMC2718492,pubmed,19591648,create date:2009/07/14 | first author:Lister A
The Integr8 project--a resource for genomic and proteomic data.,/pubmed/15972013,"Pruess M, Kersey P, Apweiler R.",In Silico Biol. 2005;5(2):179-85.,In Silico Biol.  2005,PubMed,citation,PMID:15972013,pubmed,15972013,create date:2005/06/24 | first author:Pruess M
Visualizing the genome: techniques for presenting human genome data and annotations.,/pubmed/12149135,"Loraine AE, Helt GA.",BMC Bioinformatics. 2002 Jul 30;3:19.,BMC Bioinformatics.  2002,PubMed,citation,PMID:12149135 | PMCID:PMC119855,pubmed,12149135,create date:2002/08/01 | first author:Loraine AE
"Proceedings of the New Zealand Bioinformatics Conference 2003. February, 2003. Wellington, New Zealand.",/pubmed/15130809,[No authors listed],Appl Bioinformatics. 2003;2(3 Suppl):S1-107. No abstract available. ,Appl Bioinformatics.  2003,PubMed,citation,PMID:15130809,pubmed,15130809,create date:2004/05/08
The 2010 Nucleic Acids Research Database Issue and online Database Collection: a community of data resources.,/pubmed/19965766,"Cochrane GR, Galperin MY.",Nucleic Acids Res. 2010 Jan;38(Database issue):D1-4. doi: 10.1093/nar/gkp1077. Epub 2009 Dec 3.,Nucleic Acids Res.  2010,PubMed,citation,PMID:19965766 | PMCID:PMC2808992,pubmed,19965766,create date:2009/12/08 | first author:Cochrane GR
Bioinformatics resources for the study of gene regulation in bacteria.,/pubmed/18978060,"Collado-Vides J, Salgado H, Morett E, Gama-Castro S, Jiménez-Jacinto V, Martínez-Flores I, Medina-Rivera A, Muñiz-Rascado L, Peralta-Gil M, Santos-Zavaleta A.",J Bacteriol. 2009 Jan;191(1):23-31. doi: 10.1128/JB.01017-08. Epub 2008 Oct 31. Review. No abstract available. ,J Bacteriol.  2009,PubMed,citation,PMID:18978060 | PMCID:PMC2612416,pubmed,18978060,create date:2008/11/04 | first author:Collado-Vides J
DAVID Knowledgebase: a gene-centered database integrating heterogeneous gene annotation resources to facilitate high-throughput gene functional analysis.,/pubmed/17980028,"Sherman BT, Huang da W, Tan Q, Guo Y, Bour S, Liu D, Stephens R, Baseler MW, Lane HC, Lempicki RA.",BMC Bioinformatics. 2007 Nov 2;8:426.,BMC Bioinformatics.  2007,PubMed,citation,PMID:17980028 | PMCID:PMC2186358,pubmed,17980028,create date:2007/11/06 | first author:Sherman BT
Large-scale open bioinformatics data resources.,/pubmed/12139313,Stupka E.,Curr Opin Mol Ther. 2002 Jun;4(3):265-74. Review.,Curr Opin Mol Ther.  2002,PubMed,citation,PMID:12139313,pubmed,12139313,create date:2002/07/26 | first author:Stupka E
"Harnessing ""omic"" tools and computational hypothesis-driven approaches to understand biocomplexity: the future of Physiological Genomics.",/pubmed/18198282,Cowley AW Jr.,Physiol Genomics. 2008 Mar 14;33(1):1-2. doi: 10.1152/physiolgenomics.00005.2008. Epub 2008 Jan 15. No abstract available. ,Physiol Genomics.  2008,PubMed,citation,PMID:18198282,pubmed,18198282,create date:2008/01/17 | first author:Cowley AW Jr
Bioinformatics. Hughes to build own tech research center.,/pubmed/11225609,Kaiser J.,Science. 2001 Feb 2;291(5505):803. No abstract available. ,Science.  2001,PubMed,citation,PMID:11225609,pubmed,11225609,create date:2001/02/28 | first author:Kaiser J
"Abstracts from the 5th International Society for Computational Biology Student Council Symposium at the 17th Annual International Conference on Intelligent Systems for Molecular Biology and the 8th European Conference on Computational Biology. June 27, 2009. Stockholm, Sweden.",/pubmed/19856525,[No authors listed],"BMC Bioinformatics. 2009;10 Suppl 13:I1, O1-7, P1-7. No abstract available. ",BMC Bioinformatics.  2009,PubMed,citation,PMID:19856525 | PMCID:PMC2764125,pubmed,19856525,create date:2009/10/28
"Proceedings of the The 2011 International Conference on Intelligent Computing (ICIC 2011), August 11-14, 2011, Zhengzhou, China.",/pubmed/23346590,[No authors listed],BMC Bioinformatics. 2012;13 Suppl 7:S1-12. No abstract available. ,BMC Bioinformatics.  2012,PubMed,citation,PMID:23346590,pubmed,23346590,create date:2013/01/25
"Connecting medical informatics and bio-informatics. Proceedings of the 19th Medical Informatics Europe Conference (MIE2005). Geneva, Switzerland.",/pubmed/17296521,[No authors listed],Int J Med Inform. 2007 Feb-Mar;76(2-3):83-259. No abstract available. ,Int J Med Inform.  2007,PubMed,citation,PMID:17296521,pubmed,17296521,create date:2007/02/14
DNA microarrays and data analysis: an overview.,/pubmed/15349092,"Eschrich S, Yeatman TJ.",Surgery. 2004 Sep;136(3):500-3. Review. No abstract available. ,Surgery.  2004,PubMed,citation,PMID:15349092,pubmed,15349092,create date:2004/09/07 | first author:Eschrich S
"Predicting protein subcellular localization: past, present, and future.",/pubmed/15901249,"Dönnes P, Höglund A.",Genomics Proteomics Bioinformatics. 2004 Nov;2(4):209-15. Review.,Genomics Proteomics Bioinformatics.  2004,PubMed,citation,PMID:15901249 | PMCID:PMC5187447,pubmed,15901249,create date:2005/05/20 | first author:Dönnes P
"Proceedings of the Third Annual RECOMB Satellite Workshop on Massively Parallel Sequencing (RECOMB-seq 2013), April 11-12, 2013, Beijing, China.",/pubmed/24350336,[No authors listed],BMC Bioinformatics. 2013;14 Suppl 5:S1-18. No abstract available. ,BMC Bioinformatics.  2013,PubMed,citation,PMID:24350336,pubmed,24350336,create date:2013/12/19
Editorial: Selected papers from the Third International Conference on Foundations of Systems Biology in Engineering (FOSBE 2009).,/pubmed/21261396,Henson MA.,IET Syst Biol. 2011 Jan;5(1):1. doi: 10.1049/iet-syb.2011.9005. No abstract available. ,IET Syst Biol.  2011,PubMed,citation,PMID:21261396,pubmed,21261396,create date:2011/01/26 | first author:Henson MA
Computational biology. Does it compute? Introduction.,/pubmed/22499935,"Vinson V, Purnell BA, Zahn LM, Travis J.",Science. 2012 Apr 13;336(6078):171. doi: 10.1126/science.336.6078.171. No abstract available. ,Science.  2012,PubMed,citation,PMID:22499935,pubmed,22499935,create date:2012/04/14 | first author:Vinson V
Human genome at ten: Science after the sequence.,/pubmed/20577184,Butler D.,Nature. 2010 Jun 24;465(7301):1000-1. doi: 10.1038/4651000a. No abstract available. ,Nature.  2010,PubMed,citation,PMID:20577184,pubmed,20577184,create date:2010/06/26 | first author:Butler D
Systems biology and bioinformatics in aging research: a workshop report.,/pubmed/22950424,"Fuellen G, Dengjel J, Hoeflich A, Hoeijemakers J, Kestler HA, Kowald A, Priebe S, Rebholz-Schuhmann D, Schmeck B, Schmitz U, Stolzing A, Sühnel J, Wuttke D, Vera J.",Rejuvenation Res. 2012 Dec;15(6):631-41. doi: 10.1089/rej.2012.1360. Epub 2012 Nov 19.,Rejuvenation Res.  2012,PubMed,citation,PMID:22950424,pubmed,22950424,create date:2012/09/07 | first author:Fuellen G
Familiar faces.,/pubmed/18670437,Gannon F.,EMBO Rep. 2008 Aug;9(8):699. doi: 10.1038/embor.2008.141. No abstract available. ,EMBO Rep.  2008,PubMed,citation,PMID:18670437 | PMCID:PMC2515209,pubmed,18670437,create date:2008/08/02 | first author:Gannon F
Sizing up the future of microRNA analysis.,/pubmed/20680616,"Qavi AJ, Kindt JT, Bailey RC.",Anal Bioanal Chem. 2010 Nov;398(6):2535-49. doi: 10.1007/s00216-010-4018-8. Epub 2010 Aug 1. Review.,Anal Bioanal Chem.  2010,PubMed,citation,PMID:20680616 | PMCID:PMC2965821,pubmed,20680616,create date:2010/08/04 | first author:Qavi AJ
Rocky mountain conference on bioinformatics celebrates 10 years.,/pubmed/23737739,Hunter LE.,PLoS Comput Biol. 2013;9(5):e1003076. doi: 10.1371/journal.pcbi.1003076. Epub 2013 May 30. No abstract available. ,PLoS Comput Biol.  2013,PubMed,citation,PMID:23737739 | PMCID:PMC3667766,pubmed,23737739,create date:2013/06/06 | first author:Hunter LE
Computational biology in Argentina.,/pubmed/18166076,"Bassi S, González V, Parisi G.",PLoS Comput Biol. 2007 Dec;3(12):e257. doi: 10.1371/journal.pcbi.0030257. Review. No abstract available. ,PLoS Comput Biol.  2007,PubMed,citation,PMID:18166076 | PMCID:PMC2230685,pubmed,18166076,create date:2008/01/02 | first author:Bassi S
Combining bioinformatics and MS-based proteomics: clinical implications.,/pubmed/24720436,"Acosta-Martin AE, Lane L.",Expert Rev Proteomics. 2014 Jun;11(3):269-84. doi: 10.1586/14789450.2014.900446. Epub 2014 Apr 10.,Expert Rev Proteomics.  2014,PubMed,citation,PMID:24720436,pubmed,24720436,create date:2014/04/12 | first author:Acosta-Martin AE
Bioinformaticians develop new data mining tools.,/pubmed/11017121,Niiler E.,Nat Med. 2000 Oct;6(10):1071. No abstract available. ,Nat Med.  2000,PubMed,citation,PMID:11017121,pubmed,11017121,create date:2000/10/04 | first author:Niiler E
Computational methods for protein-protein interaction and their application.,/pubmed/16248796,"Shi TL, Li YX, Cai YD, Chou KC.",Curr Protein Pept Sci. 2005 Oct;6(5):443-9. Review.,Curr Protein Pept Sci.  2005,PubMed,citation,PMID:16248796,pubmed,16248796,create date:2005/10/27 | first author:Shi TL
The role of translational bioinformatics in drug discovery.,/pubmed/21402166,"Buchan NS, Rajpal DK, Webster Y, Alatorre C, Gudivada RC, Zheng C, Sanseau P, Koehler J.",Drug Discov Today. 2011 May;16(9-10):426-34. doi: 10.1016/j.drudis.2011.03.002. Epub 2011 Mar 21. Review.,Drug Discov Today.  2011,PubMed,citation,PMID:21402166,pubmed,21402166,create date:2011/03/16 | first author:Buchan NS
Translational bioinformatics for diagnostic and prognostic prediction of prostate cancer in the next-generation sequencing era.,/pubmed/23957008,"Chen J, Zhang D, Yan W, Yang D, Shen B.",Biomed Res Int. 2013;2013:901578. doi: 10.1155/2013/901578. Epub 2013 Jul 15. Review.,Biomed Res Int.  2013,PubMed,citation,PMID:23957008 | PMCID:PMC3727129,pubmed,23957008,create date:2013/08/21 | first author:Chen J
Next-generation sequencing--the promise and perils of charting the great microbial unknown.,/pubmed/19015912,"Snyder LA, Loman N, Pallen MJ, Penn CW.",Microb Ecol. 2009 Jan;57(1):1-3. doi: 10.1007/s00248-008-9465-9. Epub 2008 Nov 18. Review. No abstract available. ,Microb Ecol.  2009,PubMed,citation,PMID:19015912,pubmed,19015912,create date:2008/11/19 | first author:Snyder LA
The role of the pathologist as tissue refiner and data miner: the impact of functional genomics on the modern pathology laboratory and the critical roles of pathology informatics and bioinformatics.,/pubmed/11172493,Becich MJ.,Mol Diagn. 2000 Dec;5(4):287-99. Review.,Mol Diagn.  2000,PubMed,citation,PMID:11172493,pubmed,11172493,create date:2001/02/15 | first author:Becich MJ
The elusive field of systems biology.,/pubmed/14966250,Cowley AW Jr.,Physiol Genomics. 2004 Feb 13;16(3):285-6. No abstract available. ,Physiol Genomics.  2004,PubMed,citation,PMID:14966250,pubmed,14966250,create date:2004/02/18 | first author:Cowley AW Jr
Biomarkers: current perspectives and future prospects.,/pubmed/14510173,Naylor S.,Expert Rev Mol Diagn. 2003 Sep;3(5):525-9. No abstract available. ,Expert Rev Mol Diagn.  2003,PubMed,citation,PMID:14510173,pubmed,14510173,create date:2003/09/27 | first author:Naylor S
Bioinformatics research in the Asia Pacific: a 2007 update.,/pubmed/18315840,"Ranganathan S, Gribskov M, Tan TW.",BMC Bioinformatics. 2008;9 Suppl 1:S1. doi: 10.1186/1471-2105-9-S1-S1.,BMC Bioinformatics.  2008,PubMed,citation,PMID:18315840 | PMCID:PMC2259402,pubmed,18315840,create date:2008/03/20 | first author:Ranganathan S
"IMGT, a system and an ontology that bridge biological and computational spheres in bioinformatics.",/pubmed/18424816,"Lefranc MP, Giudicelli V, Regnier L, Duroux P.",Brief Bioinform. 2008 Jul;9(4):263-75. doi: 10.1093/bib/bbn014. Epub 2008 Apr 19. Review.,Brief Bioinform.  2008,PubMed,citation,PMID:18424816,pubmed,18424816,create date:2008/04/22 | first author:Lefranc MP
Gene expression atlas at the European bioinformatics institute.,/pubmed/19906730,"Kapushesky M, Emam I, Holloway E, Kurnosov P, Zorin A, Malone J, Rustici G, Williams E, Parkinson H, Brazma A.",Nucleic Acids Res. 2010 Jan;38(Database issue):D690-8. doi: 10.1093/nar/gkp936. Epub 2009 Nov 11.,Nucleic Acids Res.  2010,PubMed,citation,PMID:19906730 | PMCID:PMC2808905,pubmed,19906730,create date:2009/11/13 | first author:Kapushesky M
Simplified computational methods for the analysis of protein flexibility.,/pubmed/19538139,Kuznetsov IB.,Curr Protein Pept Sci. 2009 Dec;10(6):607-13. Review.,Curr Protein Pept Sci.  2009,PubMed,citation,PMID:19538139,pubmed,19538139,create date:2009/06/23 | first author:Kuznetsov IB
Beyond the genome: from genomics to systems biology.,/pubmed/15451503,"Glaser P, Boone C.",Curr Opin Microbiol. 2004 Oct;7(5):489-91. No abstract available. ,Curr Opin Microbiol.  2004,PubMed,citation,PMID:15451503,pubmed,15451503,create date:2004/09/29 | first author:Glaser P
SmartSearch: automated recommendations using librarian expertise and the National Center for Biotechnology Information's Entrez programming utilities.,/pubmed/20428285,"Steinberg RM, Zwies R, Yates C, Stave C, Pouliot Y, Heilemann HA.",J Med Libr Assoc. 2010 Apr;98(2):171-5. doi: 10.3163/1536-5050.98.2.012. No abstract available. ,J Med Libr Assoc.  2010,PubMed,citation,PMID:20428285 | PMCID:PMC2859267,pubmed,20428285,create date:2010/04/30 | first author:Steinberg RM
Applications and challenges of DNA microarray technology in military medical research.,/pubmed/15379079,"Draghici S, Chen D, Reifman J.",Mil Med. 2004 Aug;169(8):654-9. Review.,Mil Med.  2004,PubMed,citation,PMID:15379079,pubmed,15379079,create date:2004/09/24 | first author:Draghici S
RNA secondary structure prediction by using discrete mathematics: an interdisciplinary research experience for undergraduate students.,/pubmed/20810968,"Ellington R, Wachira J, Nkwanta A.",CBE Life Sci Educ. 2010 Fall;9(3):348-56. doi: 10.1187/cbe.10-03-0036.,CBE Life Sci Educ.  2010,PubMed,citation,PMID:20810968 | PMCID:PMC2931683,pubmed,20810968,create date:2010/09/03 | first author:Ellington R
Integromics: challenges in data integration.,/pubmed/12186644,"Venkatesh TV, Harlow HB.",Genome Biol. 2002 Jul 17;3(8):REPORTS4027. Epub 2002 Jul 17.,Genome Biol.  2002,PubMed,citation,PMID:12186644 | PMCID:PMC139396,pubmed,12186644,create date:2002/08/21 | first author:Venkatesh TV
Finding function: evaluation methods for functional genomic data.,/pubmed/16869964,"Myers CL, Barrett DR, Hibbs MA, Huttenhower C, Troyanskaya OG.",BMC Genomics. 2006 Jul 25;7:187.,BMC Genomics.  2006,PubMed,citation,PMID:16869964 | PMCID:PMC1560386,pubmed,16869964,create date:2006/07/28 | first author:Myers CL
Development of software tools at BioInformatics Centre (BIC) at the National University of Singapore (NUS).,/pubmed/9697226,"Kolatkar PR, Sakharkar MK, Tse CR, Kiong BK, Wong L, Tan TW, Subbiah S.",Pac Symp Biocomput. 1998:735-46.,Pac Symp Biocomput.  1998,PubMed,citation,PMID:9697226,pubmed,9697226,create date:1998/08/11 | first author:Kolatkar PR
Computational chemogenomics approaches to systematic knowledge-based drug discovery.,/pubmed/15216933,Mestres J.,Curr Opin Drug Discov Devel. 2004 May;7(3):304-13. Review.,Curr Opin Drug Discov Devel.  2004,PubMed,citation,PMID:15216933,pubmed,15216933,create date:2004/06/26 | first author:Mestres J
Omic empiricism.,/pubmed/19401588,Searls DB.,Sci Signal. 2009 Apr 28;2(68):eg6. doi: 10.1126/scisignal.268eg6. No abstract available. ,Sci Signal.  2009,PubMed,citation,PMID:19401588,pubmed,19401588,create date:2009/04/30 | first author:Searls DB
Function prediction and protein networks.,/pubmed/12648675,"Huynen MA, Snel B, von Mering C, Bork P.",Curr Opin Cell Biol. 2003 Apr;15(2):191-8. Review.,Curr Opin Cell Biol.  2003,PubMed,citation,PMID:12648675,pubmed,12648675,create date:2003/03/22 | first author:Huynen MA
Special issue on computational neuroscience.,/pubmed/22903194,Wennekers T.,J Neurosci Methods. 2012 Sep 15;210(1):1-2. doi: 10.1016/j.jneumeth.2012.08.008. Epub 2012 Aug 10. No abstract available. ,J Neurosci Methods.  2012,PubMed,citation,PMID:22903194,pubmed,22903194,create date:2012/08/21 | first author:Wennekers T
Conveyor: a workflow engine for bioinformatic analyses.,/pubmed/21278189,"Linke B, Giegerich R, Goesmann A.",Bioinformatics. 2011 Apr 1;27(7):903-11. doi: 10.1093/bioinformatics/btr040. Epub 2011 Jan 28.,Bioinformatics.  2011,PubMed,citation,PMID:21278189,pubmed,21278189,create date:2011/02/01 | first author:Linke B
Genomic and proteomic techniques applied to reproductive biology.,/pubmed/11574051,Rockett JC.,Genome Biol. 2001;2(9):REPORTS4020. Epub 2001 Aug 24.,Genome Biol.  2001,PubMed,citation,PMID:11574051 | PMCID:PMC138959,pubmed,11574051,create date:2001/09/28 | first author:Rockett JC
Functional profiling methods in cancer.,/pubmed/19882272,Dopazo J.,Methods Mol Biol. 2010;576:363-74. doi: 10.1007/978-1-59745-545-9_19.,Methods Mol Biol.  2010,PubMed,citation,PMID:19882272,pubmed,19882272,create date:2009/11/03 | first author:Dopazo J
The k partition-distance problem.,/pubmed/22468708,Chen YH.,J Comput Biol. 2012 Apr;19(4):404-17. doi: 10.1089/cmb.2010.0186.,J Comput Biol.  2012,PubMed,citation,PMID:22468708,pubmed,22468708,create date:2012/04/04 | first author:Chen YH
Computing: Out of the hood.,/pubmed/24350353,Kwok R.,Nature. 2013 Dec 12;504(7479):319-21. No abstract available. ,Nature.  2013,PubMed,citation,PMID:24350353,pubmed,24350353,create date:2013/12/19 | first author:Kwok R
Structural genomics projects in Japan.,/pubmed/11103994,"Yokoyama S, Hirota H, Kigawa T, Yabuki T, Shirouzu M, Terada T, Ito Y, Matsuo Y, Kuroda Y, Nishimura Y, Kyogoku Y, Miki K, Masui R, Kuramitsu S.",Nat Struct Biol. 2000 Nov;7 Suppl:943-5.,Nat Struct Biol.  2000,PubMed,citation,PMID:11103994,pubmed,11103994,create date:2000/12/05 | first author:Yokoyama S
"Prequips--an extensible software platform for integration, visualization and analysis of LC-MS/MS proteomics data.",/pubmed/19129212,"Gehlenborg N, Yan W, Lee IY, Yoo H, Nieselt K, Hwang D, Aebersold R, Hood L.",Bioinformatics. 2009 Mar 1;25(5):682-3. doi: 10.1093/bioinformatics/btp005. Epub 2009 Jan 6.,Bioinformatics.  2009,PubMed,citation,PMID:19129212 | PMCID:PMC2720692,pubmed,19129212,create date:2009/01/09 | first author:Gehlenborg N
Key challenges in proteomics and proteoinformatics. Progress in proteins.,/pubmed/15971839,"Hamady M, Cheung TH, Resing K, Cios KJ, Knight R.",IEEE Eng Med Biol Mag. 2005 May-Jun;24(3):34-40. Review. No abstract available. ,IEEE Eng Med Biol Mag.  2005,PubMed,citation,PMID:15971839,pubmed,15971839,create date:2005/06/24 | first author:Hamady M
Bioinformatics analysis of mass spectrometry-based proteomics data sets.,/pubmed/19306877,"Kumar C, Mann M.",FEBS Lett. 2009 Jun 5;583(11):1703-12. doi: 10.1016/j.febslet.2009.03.035. Epub 2009 Mar 21. Review.,FEBS Lett.  2009,PubMed,citation,PMID:19306877,pubmed,19306877,create date:2009/03/25 | first author:Kumar C
Bridging the gap between biological and clinical informatics in a graduate training program.,/pubmed/16616697,"Johnson SB, Friedman RA.",J Biomed Inform. 2007 Feb;40(1):59-66. Epub 2006 Mar 15. Review.,J Biomed Inform.  2007,PubMed,citation,PMID:16616697,pubmed,16616697,create date:2006/04/18 | first author:Johnson SB
Network dynamics in the tumor microenvironment.,/pubmed/24582766,Bolouri H.,Semin Cancer Biol. 2015 Feb;30:52-9. doi: 10.1016/j.semcancer.2014.02.007. Epub 2014 Feb 25. Review.,Semin Cancer Biol.  2015,PubMed,citation,PMID:24582766,pubmed,24582766,create date:2014/03/04 | first author:Bolouri H
Swiftly computing center strings.,/pubmed/21504573,"Hufsky F, Kuchenbecker L, Jahn K, Stoye J, Böcker S.",BMC Bioinformatics. 2011 Apr 19;12:106. doi: 10.1186/1471-2105-12-106.,BMC Bioinformatics.  2011,PubMed,citation,PMID:21504573 | PMCID:PMC3108310,pubmed,21504573,create date:2011/04/21 | first author:Hufsky F
Boosting into a new terminological era.,/pubmed/22430876,"Schmid M, Gefeller O, Hothorn T.",Methods Inf Med. 2012;51(2):150-1. No abstract available. ,Methods Inf Med.  2012,PubMed,citation,PMID:22430876,pubmed,22430876,create date:2012/03/21 | first author:Schmid M
"Fifteen years SIB Swiss Institute of Bioinformatics: life science databases, tools and support.",/pubmed/24792157,"Stockinger H, Altenhoff AM, Arnold K, Bairoch A, Bastian F, Bergmann S, Bougueleret L, Bucher P, Delorenzi M, Lane L, Le Mercier P, Lisacek F, Michielin O, Palagi PM, Rougemont J, Schwede T, von Mering C, van Nimwegen E, Walther D, Xenarios I, Zavolan M, Zdobnov EM, et al.",Nucleic Acids Res. 2014 Jul;42(Web Server issue):W436-41. doi: 10.1093/nar/gku380. Epub 2014 May 3.,Nucleic Acids Res.  2014,PubMed,citation,PMID:24792157 | PMCID:PMC4086091,pubmed,24792157,create date:2014/05/06 | first author:Stockinger H
Reading the book of life.,/pubmed/11448875,Searls DB.,Bioinformatics. 2001 Jul;17(7):579-80. No abstract available. ,Bioinformatics.  2001,PubMed,citation,PMID:11448875,pubmed,11448875,create date:2001/07/13 | first author:Searls DB
simuPOP: a forward-time population genetics simulation environment.,/pubmed/16020469,"Peng B, Kimmel M.",Bioinformatics. 2005 Sep 15;21(18):3686-7. Epub 2005 Jul 14.,Bioinformatics.  2005,PubMed,citation,PMID:16020469,pubmed,16020469,create date:2005/07/16 | first author:Peng B
"Integrative proteomics: structure, function, and interaction report on the 3rd joint meeting of the British Society for Proteome Research and the European Bioinformatics Institute, July 2006.",/pubmed/17106913,"Cryan LM, O'Donoghue N.",Proteomics. 2006 Nov;6(22):5894-7.,Proteomics.  2006,PubMed,citation,PMID:17106913,pubmed,17106913,create date:2006/11/16 | first author:Cryan LM
Efficient Boolean implementation of universal sequence maps (bUSM).,/pubmed/12387731,"Schwacke J, Almeida JS.",BMC Bioinformatics. 2002 Oct 21;3:28.,BMC Bioinformatics.  2002,PubMed,citation,PMID:12387731 | PMCID:PMC137598,pubmed,12387731,create date:2002/10/22 | first author:Schwacke J
Ontologies for molecular biology and bioinformatics.,/pubmed/12542404,Schulze-Kremer S.,In Silico Biol. 2002;2(3):179-93. Review.,In Silico Biol.  2002,PubMed,citation,PMID:12542404,pubmed,12542404,create date:2003/01/25 | first author:Schulze-Kremer S
Genome data mining for everyone.,/pubmed/19017486,"Lee GW, Kim S.",BMB Rep. 2008 Nov 30;41(11):757-64. Review.,BMB Rep.  2008,PubMed,citation,PMID:19017486,pubmed,19017486,create date:2008/11/20 | first author:Lee GW
Genome sequences and great expectations.,/pubmed/11178275,"Iliopoulos I, Tsoka S, Andrade MA, Janssen P, Audit B, Tramontano A, Valencia A, Leroy C, Sander C, Ouzounis CA.",Genome Biol. 2001;2(1):INTERACTIONS0001. Epub 2000 Dec 29.,Genome Biol.  2001,PubMed,citation,PMID:11178275 | PMCID:PMC150431,pubmed,11178275,create date:2001/02/24 | first author:Iliopoulos I
ADN-Viewer: a 3D approach for bioinformatic analyses of large DNA sequences.,/pubmed/17543206,"Hérisson J, Ferey N, Gros PE, Gherbi R.",Cell Mol Biol (Noisy-le-grand). 2007 Jan 20;52(6):24-31.,Cell Mol Biol (Noisy-le-grand).  2007,PubMed,citation,PMID:17543206,pubmed,17543206,create date:2007/06/05 | first author:Hérisson J
"SIMAP--a comprehensive database of pre-calculated protein sequence similarities, domains, annotations and clusters.",/pubmed/19906725,"Rattei T, Tischler P, Götz S, Jehl MA, Hoser J, Arnold R, Conesa A, Mewes HW.",Nucleic Acids Res. 2010 Jan;38(Database issue):D223-6. doi: 10.1093/nar/gkp949. Epub 2009 Nov 11.,Nucleic Acids Res.  2010,PubMed,citation,PMID:19906725 | PMCID:PMC2808863,pubmed,19906725,create date:2009/11/13 | first author:Rattei T
Bioimage informatics: a new category in Bioinformatics.,/pubmed/22399678,"Peng H, Bateman A, Valencia A, Wren JD.",Bioinformatics. 2012 Apr 15;28(8):1057. doi: 10.1093/bioinformatics/bts111. Epub 2012 Mar 6. No abstract available. ,Bioinformatics.  2012,PubMed,citation,PMID:22399678 | PMCID:PMC3324521,pubmed,22399678,create date:2012/03/09 | first author:Peng H
